Order No,Cust ID,Order Date,Order Status,Order Amount
4.26E+18,6X894534,2001-01-21 00:36,Other,
4.26E+18,0WWO4742,2001-01-21 06:24,Other,
4.26E+18,V4OO4168,2001-01-21 06:47,Other,
4.26E+18,V4OO4168,2001-01-21 06:51,Other,
4.26E+18,Z8EA4622,2001-01-21 09:02,Other,
4.26E+18,Z8EA4622,2001-01-21 09:08,Won,6984
4.26E+18,DVU07776,2001-01-21 12:53,Other,
4.26E+18,IMEE2234,2001-01-21 13:36,Other,
4.26E+18,GD478317,2001-01-21 14:02,Other,
4.26E+18,GD478317,2001-01-21 14:04,Other,
4.26E+18,Z8EA4622,2001-01-21 14:22,Other,16476
4.26E+18,G5KJ0509,2001-01-21 15:30,Other,
4.26E+18,Z8EA4622,2001-01-21 17:17,Won,9588
4.26E+18,9QG05414,2001-01-21 18:52,Other,
4.26E+18,HLZ97397,2001-01-21 19:07,Other,
4.26E+18,MI576362,2001-01-21 19:07,Other,
4.26E+18,72WR6797,2001-01-21 19:24,Other,
4.26E+18,F1F18432,2001-01-21 19:44,Other,
4.26E+18,4R8C6589,2001-01-21 21:10,Other,
4.26E+18,NDV40863,2001-01-21 21:12,Other,
4.26E+18,XX8R7474,2001-01-21 21:28,Other,
4.26E+18,DWRY9228,2001-01-21 21:29,Other,
4.26E+18,FBU52874,2001-01-21 22:22,Other,
4.26E+18,OLU34010,2001-01-21 22:49,Other,
4.26E+18,OLU34010,2001-01-21 23:23,Other,
4.26E+18,OLU34010,2001-01-21 23:32,Other,
4.26E+18,347L3208,2001-01-21 23:39,Other,
4.26E+18,TT6R6578,2002-01-21 00:29,Other,
4.26E+18,W5UL4430,2002-01-21 06:13,Other,
4.26E+18,W5UL4430,2002-01-21 06:27,Other,
4.26E+18,DVU07776,2002-01-21 07:51,Other,
4.26E+18,DVU07776,2002-01-21 07:55,Other,
4.26E+18,BLG00000,2002-01-21 08:30,Other,
4.26E+18,BLG00000,2002-01-21 08:32,Other,
4.26E+18,BLG00000,2002-01-21 08:36,Other,
4.26E+18,NAX96592,2002-01-21 09:04,Other,
4.26E+18,PDOX8585,2002-01-21 09:28,Other,
4.26E+18,X1Y82412,2002-01-21 09:57,Other,
4.26E+18,YJ5Q1394,2002-01-21 10:43,Other,
4.26E+18,U9A36475,2002-01-21 11:15,Other,
4.26E+18,P3P11239,2002-01-21 12:07,Other,
